Возраст,Пол,Квалификация,Стаж,Семейное положение,Иждивенцы,Срок проживания,Иностранное гражданство,Телефон,Банковский счет,Сберегательный счет,Собственность,Плата за жилье,Кредитный рейтинг,Число кредитов,Другие кредиты,Сумма,Срок,Процентная ставка платежа,Поручители,Цель,Класс
252,24.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,1,1,неизвестно/нет собственности,собственность,2,1,банк,2150,30,4,поручитель,автомобиль (новый),0
253,35.0,1,2,2.0,никогда не состоял(а),1,3,1,0,0,2,страхование жизни/сберегательный договор,собственность,1,2,нет,4151,24,2,нет,мебель/оборудование,1
254,24.0,1,2,3.0,никогда не состоял(а),1,1,1,1,1,0,автомобиль,собственность,2,1,нет,2030,9,2,нет,мебель/оборудование,1
255,27.0,1,1,,никогда не состоял(а),1,1,1,0,1,0,недвижимость,собственность,1,1,нет,7418,60,1,нет,радио/телевидение,1
256,35.0,1,1,2.0,никогда не состоял(а),1,2,1,0,0,1,недвижимость,собственность,0,2,нет,2684,24,4,нет,радио/телевидение,1
257,29.0,1,2,,живет раздельно/разведен,1,1,1,0,-1,1,неизвестно/нет собственности,бесплатно,3,1,нет,2149,12,4,нет,радио/телевидение,0
258,23.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,1,0,2,автомобиль,собственность,2,1,нет,3812,15,1,,автомобиль (б/у),1
259,57.0,0,1,0.0,замужем/живет раздельно/разведена,1,4,1,0,0,2,недвижимость,собственность,0,3,нет,1154,11,4,нет,радио/телевидение,1
260,27.0,1,2,2.0,никогда не состоял(а),1,2,1,0,-1,1,недвижимость,собственность,2,1,нет,1657,12,2,нет,мебель/оборудование,1
261,55.0,0,2,4.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,автомобиль,собственность,2,1,нет,1603,24,4,нет,радио/телевидение,1
262,36.0,1,3,4.0,никогда не состоял(а),1,4,1,1,-1,1,неизвестно/нет собственности,бесплатно,0,3,нет,5302,18,2,нет,автомобиль (новый),1
263,,0,1,4.0,замужем/живет раздельно/разведена,1,4,1,0,0,1,неизвестно/нет собственности,бесплатно,0,3,банк,2748,12,2,нет,образование,1
264,32.0,1,1,4.0,никогда не состоял(а),2,4,0,0,0,1,недвижимость,собственность,0,2,нет,1231,10,3,нет,автомобиль (новый),1
265,37.0,1,2,4.0,никогда не состоял(а),2,3,1,0,1,1,автомобиль,собственность,2,1,нет,802,15,4,нет,,0
266,36.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,0,недвижимость,собственность,0,2,нет,6304,36,4,нет,бизнес,1
267,38.0,0,2,1.0,замужем/живет раздельно/разведена,1,3,1,1,0,1,автомобиль,собственность,2,1,магазин,1533,24,4,нет,радио/телевидение,1
268,45.0,1,3,4.0,живет раздельно/разведен,1,4,0,1,-1,1,страхование жизни/сберегательный договор,собственность,2,1,нет,8978,14,1,нет,автомобиль (новый),0
269,25.0,1,2,4.0,никогда не состоял(а),1,2,1,0,0,0,автомобиль,собственность,2,2,нет,999,24,4,нет,радио/телевидение,1
270,32.0,1,2,3.0,никогда не состоял(а),1,3,0,0,0,0,страхование жизни/сберегательный договор,собственность,2,1,нет,2662,18,4,нет,автомобиль (новый),1
271,37.0,0,2,3.0,замужем/живет раздельно/разведена,1,4,1,1,0,3,автомобиль,аренда,0,1,нет,1402,12,3,нет,мебель/оборудование,1
272,36.0,1,3,0.0,никогда не состоял(а),1,4,1,1,1,0,неизвестно/нет собственности,бесплатно,3,1,нет,12169,48,4,созаемщик,автомобиль (новый),1
273,28.0,1,2,3.0,никогда не состоял(а),1,4,1,0,1,1,недвижимость,собственность,2,2,нет,3060,48,4,нет,радио/телевидение,0
274,34.0,1,1,1.0,живет раздельно/разведен,1,1,1,1,-1,1,неизвестно/нет собственности,собственность,2,1,нет,11998,30,1,,ремонт,0
275,32.0,1,2,2.0,никогда не состоял(а),2,2,1,0,0,1,недвижимость,собственность,2,1,нет,2697,9,1,,радио/телевидение,1
276,26.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,0,1,автомобиль,собственность,0,2,нет,2404,18,2,нет,радио/телевидение,1
277,49.0,1,1,4.0,живет раздельно/разведен,1,4,1,1,-1,0,страхование жизни/сберегательный договор,собственность,2,1,нет,1262,12,2,нет,мебель/оборудование,1
278,32.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,0,0,1,страхование жизни/сберегательный договор,собственность,2,1,нет,4611,6,1,нет,мебель/оборудование,0
279,29.0,1,3,2.0,никогда не состоял(а),1,4,1,1,0,2,автомобиль,аренда,2,1,нет,1901,24,4,нет,,1
280,23.0,1,2,4.0,никогда не состоял(а),1,4,1,1,0,4,неизвестно/нет собственности,аренда,0,2,нет,3368,15,3,нет,автомобиль (б/у),1
281,50.0,1,2,2.0,никогда не состоял(а),1,2,1,0,0,1,недвижимость,собственность,2,1,нет,1574,12,4,нет,мебель/оборудование,1
282,49.0,1,1,3.0,никогда не состоял(а),1,4,1,0,2,0,автомобиль,собственность,3,1,банк,1445,18,4,,радио/телевидение,1
283,63.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,0,страхование жизни/сберегательный договор,собственность,0,1,нет,1520,15,4,нет,мебель/оборудование,1
284,37.0,1,2,1.0,живет раздельно/разведен,1,2,1,1,1,2,автомобиль,собственность,0,1,нет,3878,24,4,нет,автомобиль (новый),1
285,35.0,0,1,1.0,замужем/живет раздельно/разведена,1,1,1,1,-1,1,недвижимость,собственность,2,1,нет,10722,47,1,нет,автомобиль (новый),1
286,26.0,1,2,3.0,никогда не состоял(а),2,3,1,0,-1,1,страхование жизни/сберегательный договор,собственность,2,1,нет,4788,48,4,нет,автомобиль (б/у),1
287,31.0,1,3,0.0,никогда не состоял(а),1,4,1,1,1,2,неизвестно/нет собственности,бесплатно,1,1,нет,7582,48,2,нет,другое,1
288,49.0,0,2,2.0,замужем/живет раздельно/разведена,1,4,1,1,1,1,недвижимость,собственность,2,2,нет,1092,12,4,поручитель,радио/телевидение,1
289,48.0,1,2,1.0,женат/овдовел,1,4,1,0,-1,1,недвижимость,собственность,1,1,магазин,1024,24,4,нет,радио/телевидение,0
290,26.0,1,2,2.0,женат/овдовел,1,2,0,1,0,1,недвижимость,собственность,2,1,нет,1076,12,2,нет,бизнес,1
291,28.0,1,3,1.0,женат/овдовел,1,4,1,1,1,1,автомобиль,аренда,2,1,нет,9398,36,1,нет,автомобиль (б/у),0
292,44.0,0,3,4.0,замужем/живет раздельно/разведена,2,4,1,1,-1,1,неизвестно/нет собственности,бесплатно,0,2,нет,6419,24,2,,автомобиль (б/у),1
293,56.0,1,2,4.0,никогда не состоял(а),1,4,1,0,2,1,неизвестно/нет собственности,бесплатно,0,1,нет,4796,42,4,нет,автомобиль (б/у),1
294,46.0,1,3,4.0,живет раздельно/разведен,2,2,1,0,0,0,автомобиль,собственность,0,2,банк,7629,48,4,нет,бизнес,1
295,26.0,0,2,1.0,замужем/живет раздельно/разведена,1,2,1,1,1,1,автомобиль,собственность,2,1,нет,9960,48,1,нет,мебель/оборудование,0
296,20.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,0,0,0,автомобиль,аренда,2,1,нет,4675,12,1,нет,автомобиль (б/у),1
297,45.0,1,1,4.0,никогда не состоял(а),1,2,0,0,0,0,страхование жизни/сберегательный договор,собственность,2,1,нет,1287,10,4,созаемщик,автомобиль (новый),1
298,43.0,1,2,2.0,никогда не состоял(а),1,4,1,1,0,1,недвижимость,собственность,2,1,нет,2515,18,3,нет,мебель/оборудование,1
299,32.0,1,2,3.0,никогда не состоял(а),1,2,1,1,1,4,автомобиль,собственность,0,2,нет,2745,21,3,нет,мебель/оборудование,1
300,54.0,0,0,0.0,замужем/живет раздельно/разведена,1,4,1,1,0,1,недвижимость,собственность,2,1,нет,672,6,1,нет,автомобиль (новый),1
301,42.0,0,2,2.0,замужем/живет раздельно/разведена,1,1,1,1,1,1,автомобиль,собственность,4,1,нет,3804,36,4,нет,радио/телевидение,0
302,37.0,1,1,3.0,никогда не состоял(а),2,2,1,0,2,0,недвижимость,собственность,0,2,банк,1344,24,4,нет,автомобиль (новый),0
303,49.0,1,2,3.0,никогда не состоял(а),1,3,1,1,-1,1,страхование жизни/сберегательный договор,собственность,0,2,нет,1038,10,4,созаемщик,автомобиль (новый),1
304,44.0,1,2,2.0,никогда не состоял(а),1,2,1,0,0,3,неизвестно/нет собственности,бесплатно,0,1,банк,10127,48,2,нет,автомобиль (новый),0
305,33.0,1,2,2.0,живет раздельно/разведен,1,2,1,0,0,4,недвижимость,собственность,2,1,нет,1543,6,4,нет,мебель/оборудование,1
306,24.0,0,1,3.0,замужем/живет раздельно/разведена,1,4,1,0,0,0,страхование жизни/сберегательный договор,аренда,2,1,магазин,4811,30,2,нет,автомобиль (б/у),1
307,,1,1,1.0,женат/овдовел,1,3,1,1,-1,2,неизвестно/нет собственности,собственность,2,1,нет,727,12,4,,радио/телевидение,0
308,24.0,0,2,2.0,замужем/живет раздельно/разведена,1,4,1,0,1,1,недвижимость,собственность,2,1,нет,1237,8,3,нет,мебель/оборудование,0
309,22.0,1,1,2.0,женат/овдовел,1,4,1,0,1,1,недвижимость,аренда,2,1,нет,276,9,4,нет,автомобиль (новый),1
310,40.0,1,0,0.0,никогда не состоял(а),1,4,1,1,1,0,неизвестно/нет собственности,бесплатно,2,1,банк,5381,48,3,нет,другое,1
311,25.0,1,2,2.0,никогда не состоял(а),1,1,1,0,0,2,автомобиль,собственность,2,1,магазин,5511,24,4,нет,мебель/оборудование,1
312,26.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,0,2,1,автомобиль,собственность,2,1,нет,3749,24,2,нет,мебель/оборудование,1
313,25.0,1,1,3.0,женат/овдовел,1,3,1,0,1,1,автомобиль,собственность,2,1,банк,685,12,2,нет,автомобиль (новый),0
314,29.0,1,1,1.0,никогда не состоял(а),2,2,0,0,2,0,недвижимость,собственность,2,1,нет,1494,4,1,нет,автомобиль (новый),1
315,31.0,1,2,4.0,никогда не состоял(а),1,4,1,0,-1,1,автомобиль,собственность,3,1,банк,2746,36,4,нет,мебель/оборудование,0
316,38.0,1,1,2.0,никогда не состоял(а),2,3,1,0,-1,1,страхование жизни/сберегательный договор,собственность,2,1,нет,708,12,2,поручитель,мебель/оборудование,1
317,48.0,0,1,2.0,замужем/живет раздельно/разведена,1,4,1,1,1,0,страхование жизни/сберегательный договор,собственность,2,1,нет,4351,24,1,нет,,1
318,,1,2,2.0,никогда не состоял(а),1,2,1,0,0,1,автомобиль,собственность,0,2,нет,701,12,4,нет,,1
319,27.0,0,1,4.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,страхование жизни/сберегательный договор,собственность,1,2,нет,3643,15,1,нет,мебель/оборудование,1
320,28.0,1,3,0.0,женат/овдовел,1,2,1,0,1,1,автомобиль,собственность,0,2,нет,4249,30,4,нет,автомобиль (новый),0
321,32.0,1,2,1.0,живет раздельно/разведен,1,3,1,0,-1,1,страхование жизни/сберегательный договор,собственность,2,1,нет,1938,24,4,нет,радио/телевидение,0
322,34.0,1,3,3.0,никогда не состоял(а),1,1,1,1,-1,1,неизвестно/нет собственности,бесплатно,2,1,нет,2910,24,2,,автомобиль (б/у),1
323,28.0,1,2,2.0,никогда не состоял(а),1,2,1,0,-1,4,автомобиль,собственность,2,1,нет,2659,18,4,нет,мебель/оборудование,1
324,36.0,0,2,2.0,замужем/живет раздельно/разведена,1,3,1,0,0,1,недвижимость,собственность,0,2,нет,1028,18,4,нет,автомобиль (новый),1
325,39.0,1,1,3.0,никогда не состоял(а),1,4,0,0,-1,1,недвижимость,собственность,0,2,нет,3398,8,1,нет,автомобиль (новый),1
326,49.0,1,2,4.0,никогда не состоял(а),1,4,1,1,0,0,страхование жизни/сберегательный договор,аренда,0,1,нет,5801,12,2,нет,мебель/оборудование,1
327,34.0,0,2,3.0,замужем/живет раздельно/разведена,2,3,1,1,0,4,автомобиль,собственность,2,1,нет,1525,24,4,нет,автомобиль (новый),1
328,31.0,1,2,4.0,никогда не состоял(а),1,2,1,0,2,1,автомобиль,собственность,2,1,нет,4473,36,4,нет,радио/телевидение,1
329,28.0,1,2,,никогда не состоял(а),2,4,1,0,1,1,автомобиль,собственность,2,1,нет,1068,6,4,нет,радио/телевидение,1
330,75.0,1,3,,никогда не состоял(а),1,4,1,1,-1,1,неизвестно/нет собственности,бесплатно,0,2,нет,6615,24,2,нет,автомобиль (б/у),1
331,30.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,0,2,недвижимость,собственность,0,2,нет,1864,18,4,нет,образование,0
332,24.0,0,3,1.0,замужем/живет раздельно/разведена,1,2,1,0,1,2,страхование жизни/сберегательный договор,собственность,2,1,нет,7408,60,4,нет,автомобиль (новый),0
333,24.0,0,1,2.0,замужем/живет раздельно/разведена,1,4,1,0,0,2,автомобиль,аренда,0,2,банк,11590,48,2,нет,автомобиль (б/у),0
334,,1,2,4.0,никогда не состоял(а),2,4,1,0,-1,1,неизвестно/нет собственности,аренда,4,2,банк,4110,24,3,нет,мебель/оборудование,0
335,44.0,1,3,2.0,живет раздельно/разведен,1,4,1,1,-1,1,недвижимость,аренда,0,1,нет,3384,6,1,нет,мебель/оборудование,0
336,23.0,0,1,1.0,замужем/живет раздельно/разведена,1,4,1,0,1,1,страхование жизни/сберегательный договор,собственность,2,1,нет,2101,13,2,поручитель,радио/телевидение,1
337,24.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,-1,0,автомобиль,аренда,2,1,нет,1275,15,4,нет,бытовая техника,0
338,28.0,1,2,2.0,никогда не состоял(а),1,4,1,0,-1,1,страхование жизни/сберегательный договор,собственность,2,1,нет,4169,24,4,нет,мебель/оборудование,1
339,31.0,1,1,2.0,живет раздельно/разведен,1,2,1,0,1,1,автомобиль,собственность,2,1,нет,1521,10,4,нет,мебель/оборудование,1
340,24.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,1,1,1,неизвестно/нет собственности,бесплатно,0,2,нет,5743,24,2,нет,образование,1
341,26.0,0,1,,замужем/живет раздельно/разведена,1,4,1,0,-1,1,автомобиль,аренда,2,1,нет,3599,21,1,нет,мебель/оборудование,1
342,25.0,1,2,1.0,женат/овдовел,1,3,1,0,1,3,недвижимость,аренда,2,1,нет,3213,18,1,нет,радио/телевидение,1
343,33.0,1,3,4.0,никогда не состоял(а),1,1,1,1,1,1,недвижимость,собственность,2,1,банк,4439,18,1,созаемщик,бизнес,1
344,37.0,1,1,1.0,никогда не состоял(а),2,1,1,0,2,1,страхование жизни/сберегательный договор,собственность,2,1,нет,3949,10,1,поручитель,автомобиль (новый),1
345,43.0,0,1,2.0,замужем/живет раздельно/разведена,1,2,1,0,0,1,автомобиль,собственность,0,1,нет,1459,15,4,нет,радио/телевидение,1
346,23.0,1,2,1.0,никогда не состоял(а),1,4,1,0,1,1,недвижимость,собственность,0,2,нет,882,13,4,поручитель,радио/телевидение,1
347,23.0,0,0,0.0,замужем/живет раздельно/разведена,1,4,1,0,1,3,неизвестно/нет собственности,аренда,2,1,нет,3758,24,1,,радио/телевидение,1
348,34.0,1,1,,никогда не состоял(а),1,2,1,0,0,2,недвижимость,собственность,1,2,нет,1743,6,1,нет,бизнес,1
349,32.0,1,2,4.0,никогда не состоял(а),2,3,1,0,1,4,неизвестно/нет собственности,бесплатно,0,2,нет,1136,9,4,нет,образование,0
350,23.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,1,0,1,недвижимость,аренда,2,1,нет,1236,9,1,нет,бытовая техника,1
351,29.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,0,0,1,1,автомобиль,собственность,2,1,нет,959,9,1,нет,мебель/оборудование,0
352,38.0,1,3,0.0,никогда не состоял(а),1,4,1,1,0,0,неизвестно/нет собственности,собственность,0,1,нет,3229,18,2,нет,автомобиль (б/у),1
353,28.0,1,2,,никогда не состоял(а),1,2,1,1,-1,1,страхование жизни/сберегательный договор,аренда,4,2,нет,6199,12,4,,радио/телевидение,0
354,46.0,1,2,4.0,никогда не состоял(а),1,4,1,1,0,3,неизвестно/нет собственности,бесплатно,2,1,нет,727,10,4,нет,образование,1
355,23.0,1,1,1.0,никогда не состоял(а),1,2,1,0,1,1,недвижимость,собственность,2,1,магазин,1246,24,4,нет,автомобиль (новый),0
356,49.0,1,2,4.0,никогда не состоял(а),1,4,1,1,0,0,недвижимость,собственность,0,1,нет,2331,12,1,созаемщик,радио/телевидение,1
357,26.0,1,3,2.0,никогда не состоял(а),1,2,1,1,0,1,автомобиль,собственность,1,2,нет,4463,36,4,нет,радио/телевидение,0
358,28.0,1,2,2.0,женат/овдовел,1,2,1,0,0,1,недвижимость,собственность,2,1,нет,776,12,4,нет,радио/телевидение,1
359,,0,2,3.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,недвижимость,аренда,2,1,нет,2406,30,4,нет,мебель/оборудование,0
360,61.0,1,2,2.0,никогда не состоял(а),1,4,1,0,1,0,неизвестно/нет собственности,бесплатно,2,1,нет,1239,18,4,нет,образование,1
361,37.0,1,3,4.0,никогда не состоял(а),1,3,1,0,2,0,автомобиль,собственность,2,1,нет,3399,12,2,нет,радио/телевидение,1
362,36.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,1,2,1,автомобиль,собственность,1,2,магазин,2247,12,2,нет,автомобиль (новый),1
363,,1,2,2.0,женат/овдовел,1,2,1,0,0,1,страхование жизни/сберегательный договор,аренда,2,1,нет,1766,6,1,нет,мебель/оборудование,1
364,25.0,1,0,0.0,никогда не состоял(а),1,1,1,0,-1,1,автомобиль,собственность,2,1,нет,2473,18,4,нет,мебель/оборудование,0
365,36.0,1,2,3.0,никогда не состоял(а),1,4,1,1,0,1,автомобиль,собственность,2,1,нет,1542,12,2,нет,бизнес,1
366,27.0,1,2,3.0,никогда не состоял(а),1,1,1,0,0,1,автомобиль,собственность,0,2,нет,3850,18,3,нет,автомобиль (б/у),1
367,22.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,автомобиль,аренда,2,1,нет,3650,18,1,нет,мебель/оборудование,1
368,42.0,1,2,4.0,никогда не состоял(а),2,2,1,0,-1,1,автомобиль,собственность,2,1,нет,3446,36,4,нет,мебель/оборудование,0
369,40.0,0,2,,замужем/живет раздельно/разведена,1,4,1,0,1,1,недвижимость,аренда,2,1,нет,3001,18,2,нет,мебель/оборудование,1
370,36.0,1,2,2.0,никогда не состоял(а),1,4,1,0,0,0,недвижимость,собственность,2,1,нет,3079,36,4,нет,автомобиль (новый),1
371,33.0,1,2,4.0,никогда не состоял(а),1,4,1,1,0,1,автомобиль,собственность,0,2,нет,6070,18,3,,радио/телевидение,1
372,23.0,0,2,1.0,замужем/живет раздельно/разведена,1,3,1,0,0,1,недвижимость,аренда,0,2,нет,2146,10,1,нет,мебель/оборудование,1
373,63.0,1,3,4.0,никогда не состоял(а),1,4,1,1,0,0,неизвестно/нет собственности,бесплатно,0,1,банк,13756,60,2,нет,автомобиль (новый),1
374,60.0,0,3,4.0,замужем/живет раздельно/разведена,1,4,1,1,1,2,неизвестно/нет собственности,бесплатно,3,2,банк,14782,60,3,нет,другое,0
375,37.0,0,2,3.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,автомобиль,аренда,3,1,нет,7685,48,2,поручитель,бизнес,0
376,34.0,1,2,,женат/овдовел,1,3,1,0,0,1,недвижимость,собственность,1,2,нет,2320,18,2,нет,радио/телевидение,1
377,36.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,0,неизвестно/нет собственности,бесплатно,1,1,нет,846,7,3,нет,радио/телевидение,1
378,,1,3,4.0,никогда не состоял(а),1,2,1,1,1,1,неизвестно/нет собственности,бесплатно,2,1,нет,14318,36,4,нет,автомобиль (новый),0
379,52.0,0,1,2.0,замужем/живет раздельно/разведена,1,4,1,0,0,2,автомобиль,собственность,0,2,нет,362,6,4,нет,автомобиль (новый),1
380,39.0,1,2,3.0,никогда не состоял(а),1,4,1,1,-1,0,автомобиль,собственность,2,1,нет,2212,20,4,нет,мебель/оборудование,1
381,38.0,0,3,0.0,замужем/живет раздельно/разведена,1,4,1,1,1,1,неизвестно/нет собственности,бесплатно,2,1,нет,12976,18,3,нет,,0
382,25.0,0,2,3.0,замужем/живет раздельно/разведена,1,4,1,0,0,0,страхование жизни/сберегательный договор,аренда,2,1,нет,1283,22,4,нет,автомобиль (новый),1
383,26.0,1,2,1.0,никогда не состоял(а),1,1,1,0,2,1,недвижимость,собственность,2,1,нет,1330,12,4,нет,автомобиль (новый),1
384,26.0,1,1,2.0,никогда не состоял(а),1,2,1,0,0,2,страхование жизни/сберегательный договор,собственность,1,2,нет,4272,30,2,нет,бизнес,1
385,25.0,0,2,2.0,замужем/живет раздельно/разведена,1,1,1,0,0,1,автомобиль,собственность,0,2,нет,2238,18,2,нет,радио/телевидение,1
386,21.0,0,2,1.0,замужем/живет раздельно/разведена,1,2,1,1,0,0,недвижимость,аренда,2,1,нет,1126,18,4,нет,радио/телевидение,1
387,40.0,1,3,0.0,никогда не состоял(а),1,4,1,1,1,1,страхование жизни/сберегательный договор,собственность,0,2,магазин,7374,18,4,нет,мебель/оборудование,1
388,27.0,1,2,2.0,никогда не состоял(а),1,4,1,0,1,3,автомобиль,собственность,0,1,банк,2326,15,2,нет,бизнес,1
389,27.0,0,2,3.0,замужем/живет раздельно/разведена,1,2,1,0,0,1,автомобиль,собственность,2,2,нет,1449,9,3,нет,бизнес,1
390,30.0,1,3,2.0,женат/овдовел,1,2,1,1,0,1,страхование жизни/сберегательный договор,собственность,2,1,нет,1820,18,2,нет,автомобиль (новый),1
391,19.0,0,1,1.0,замужем/живет раздельно/разведена,1,4,1,0,1,4,недвижимость,аренда,2,1,нет,983,12,1,нет,мебель/оборудование,1
392,39.0,1,3,3.0,никогда не состоял(а),2,4,1,1,-1,1,неизвестно/нет собственности,бесплатно,2,1,банк,3249,36,2,нет,автомобиль (новый),1
393,31.0,0,2,3.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,автомобиль,собственность,0,1,нет,1957,6,1,нет,радио/телевидение,1
394,31.0,1,3,0.0,никогда не состоял(а),1,3,1,0,0,1,автомобиль,собственность,0,1,нет,2406,9,2,нет,мебель/оборудование,1
395,32.0,1,2,3.0,никогда не состоял(а),1,3,1,1,1,2,неизвестно/нет собственности,аренда,1,1,нет,11760,39,2,нет,образование,1
396,55.0,0,3,0.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,неизвестно/нет собственности,бесплатно,2,1,нет,2578,12,3,нет,мебель/оборудование,1
397,46.0,1,2,2.0,женат/овдовел,1,2,1,1,-1,1,страхование жизни/сберегательный договор,собственность,0,2,нет,2348,36,3,нет,мебель/оборудование,1
398,46.0,1,2,4.0,живет раздельно/разведен,1,1,1,0,1,1,недвижимость,аренда,2,2,нет,1223,12,1,нет,автомобиль (новый),0
399,43.0,0,1,2.0,замужем/живет раздельно/разведена,1,1,1,0,0,4,недвижимость,собственность,0,2,нет,1516,24,4,нет,,1
400,39.0,1,2,1.0,женат/овдовел,1,4,1,1,0,1,недвижимость,собственность,2,1,нет,1473,18,3,нет,радио/телевидение,1
401,28.0,1,2,2.0,женат/овдовел,1,4,1,0,1,0,недвижимость,собственность,0,2,банк,1887,18,4,нет,бизнес,1
402,27.0,1,2,1.0,никогда не состоял(а),1,2,1,1,0,1,автомобиль,собственность,1,2,банк,8648,24,2,нет,бизнес,0
403,27.0,1,1,2.0,никогда не состоял(а),1,2,1,0,0,1,автомобиль,собственность,1,2,нет,802,14,4,нет,автомобиль (новый),1
404,43.0,1,2,,никогда не состоял(а),2,4,1,0,1,0,автомобиль,собственность,1,1,нет,2899,18,4,нет,автомобиль (новый),1
405,22.0,1,2,1.0,женат/овдовел,1,1,1,1,1,1,страхование жизни/сберегательный договор,собственность,2,1,нет,2039,24,1,нет,радио/телевидение,0
406,,1,2,3.0,никогда не состоял(а),2,4,1,1,0,0,автомобиль,собственность,0,2,нет,2197,24,4,нет,автомобиль (б/у),1
407,,1,2,1.0,женат/овдовел,1,2,0,0,-1,1,недвижимость,собственность,2,1,нет,1053,15,4,нет,радио/телевидение,1
408,,1,3,,живет раздельно/разведен,1,2,1,1,0,3,автомобиль,собственность,2,1,нет,3235,24,3,нет,радио/телевидение,1
409,28.0,1,2,3.0,женат/овдовел,1,2,1,1,2,3,недвижимость,собственность,0,3,нет,939,12,4,нет,автомобиль (новый),0
410,20.0,0,2,4.0,замужем/живет раздельно/разведена,1,4,1,1,1,1,автомобиль,собственность,2,1,нет,1967,24,4,нет,радио/телевидение,1
411,35.0,1,3,3.0,никогда не состоял(а),1,2,1,1,0,1,автомобиль,собственность,0,2,нет,7253,33,3,нет,автомобиль (б/у),1
412,,1,3,0.0,никогда не состоял(а),1,2,1,1,0,1,автомобиль,собственность,0,2,магазин,2292,12,4,нет,бизнес,0
413,40.0,1,1,2.0,никогда не состоял(а),2,2,0,0,0,3,неизвестно/нет собственности,аренда,2,1,нет,1597,10,3,нет,автомобиль (новый),1
414,35.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,-1,0,страхование жизни/сберегательный договор,собственность,2,1,нет,1381,24,4,нет,автомобиль (новый),0
415,35.0,1,2,4.0,никогда не состоял(а),2,2,1,1,0,1,страхование жизни/сберегательный договор,собственность,0,2,нет,5842,36,2,нет,автомобиль (б/у),1
416,,1,1,1.0,никогда не состоял(а),2,1,1,0,-1,1,недвижимость,собственность,2,1,нет,2579,12,4,нет,автомобиль (новый),0
417,23.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,1,-1,0,автомобиль,аренда,1,2,нет,8471,18,1,нет,образование,1
418,31.0,0,3,3.0,замужем/живет раздельно/разведена,1,2,1,0,0,3,автомобиль,собственность,2,1,банк,2782,21,1,нет,автомобиль (новый),1
419,33.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,1,0,страхование жизни/сберегательный договор,собственность,2,1,нет,1042,18,4,нет,автомобиль (новый),0
420,20.0,0,2,3.0,замужем/живет раздельно/разведена,1,3,1,0,0,4,автомобиль,аренда,2,1,нет,3186,15,2,нет,автомобиль (новый),1
421,30.0,1,2,2.0,никогда не состоял(а),1,2,1,0,1,0,автомобиль,собственность,2,1,нет,2028,12,4,нет,автомобиль (б/у),1
422,47.0,1,1,3.0,никогда не состоял(а),2,3,1,0,1,1,недвижимость,собственность,0,2,нет,958,12,2,нет,автомобиль (новый),1
423,34.0,1,3,,никогда не состоял(а),1,3,1,0,0,2,недвижимость,собственность,1,2,нет,1591,21,4,нет,мебель/оборудование,1
424,25.0,0,2,,замужем/живет раздельно/разведена,1,2,1,1,1,0,страхование жизни/сберегательный договор,собственность,2,1,банк,2762,12,1,нет,мебель/оборудование,0
425,21.0,1,2,2.0,женат/овдовел,1,3,1,1,1,1,автомобиль,аренда,2,1,нет,2779,18,1,нет,автомобиль (б/у),1
426,29.0,1,2,4.0,никогда не состоял(а),1,2,1,0,0,1,автомобиль,собственность,0,2,нет,2743,28,4,нет,радио/телевидение,1
427,46.0,1,2,2.0,никогда не состоял(а),1,3,1,0,0,4,недвижимость,собственность,0,2,нет,1149,18,4,нет,радио/телевидение,1
428,20.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,1,автомобиль,собственность,2,1,нет,1313,9,1,нет,мебель/оборудование,1
429,55.0,0,0,0.0,замужем/живет раздельно/разведена,2,4,1,0,-1,1,неизвестно/нет собственности,бесплатно,0,3,нет,1190,18,2,нет,ремонт,0
430,74.0,1,1,3.0,никогда не состоял(а),1,4,1,0,0,1,недвижимость,собственность,2,1,нет,3448,5,1,нет,бизнес,1
